EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Bruxelles Oamaru,Karamu Barrelworks,Cherry Peach ,"Brewed in the traditional Belgian way, this wild ale is made from a grist of 40% raw wheat and 60% malted barley,  using a turbid mash, aged hops, and an extended boil. The wort is then cooled overnight in an open coolship,  allowing wild yeasts and bacteria to inoculate it naturally. After spontaneous fermentation, the beer is matured in  oak barrels for at least one year before being refermented on sour cherries and peaches. It is dry hopped with  Mandarina Bavaria prior to packaging. 
From brew day to packaging, the entire process takes around two years. 
Karamu wild ale is ready to enjoy after approximately four months of bottle or keg conditioning. While delicious when  young, it will continue to evolve and drink beautifully for many years.",6.8,Fruited Wild Ale,,,,,,,,,,,,,,,,,,,
Bruxelles Oamaru,Craftwork Brewery,Siege of Liège,"This is the second batch of Siege of Liège, a Barrel-aged mixed fermentation saison, initially fermented with French saison yeast, pumped into two oak puncheons with Liège sirop (Wallonian syrup made from pear and apple), and Brettanomyces, Pediococcus, and Lactobacillus, for 18 months. Rich and tangy with a slight sweetness, fennel, pear and big oak.",7,BA mixed fermentation saison,,,,,,,,,,,,,,,,,,,
Bruxelles Oamaru,Karamu Barrelworks,Grape Ale: Pinot Gris,"Brewed in the traditional Belgian way, this wild ale is made from a grist of 40% raw wheat and 60% malted barley,  using a turbid mash, aged hops, and an extended boil. The wort is then cooled overnight in an open coolship,  allowing wild yeasts and bacteria to inoculate it naturally. After spontaneous fermentation, the beer is matured in  oak barrels for at least one year before being refermented on Pinot Gris skins. 
From brew day to packaging, the entire process takes around two years. 
Karamu wild ale is ready to enjoy after approximately four months of bottle or keg conditioning. While delicious when  young, it will continue to evolve and drink beautifully for many years. ",8.3,Fruited Wild Ale,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Light Owl,"While low in alcohol, Light Owl has been brewed to maximise personality.  Chinook hops bring a distinctive pine aroma which is rounded out by the citrus, floral flavours of the Taiheke® hops. The result is a full-bodied, big character Pale Ale despite the low ABV.",2.5,Pale Ale,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Fogged Up Hazy Pale Ale,"Fogged Up Hazy Pale Ale has been created by our award-winning brewers to deliver a full flavoured yet elegant beer.  Juicy tropical fruit notes combine with punchy hop characteristics to bring you a balanced and refreshing brew that will have you coming back for more! 
",4.7,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Pilsner,"Our Pilsner showcases the very best of New Zealand ingredients. Motueka and Nelson Sauvin hops bring lime and sauvignon grape flavours, alongside subtle juniper berry characters. This is balanced out by the mostly Pilsner malt-base, which provides cracker-like flavours and sweetness, perfectly complementing the crisp, refreshingly bitter finish.
",4.8,Pilsner,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Milk Stout on Nitro,"The only thing better than a Cassels Milk Stout... A Cassels Nitro Milk Stout! The secret? Nitrogen. Unlike regular carbonation, nitrogen creates tiny bubbles that give this stout its extremely velvety and creamy texture. Each sip is rich, silky and jam packed with flavour – bittersweet chocolate, dried fruits and bold “coffee-and-cream” aromas. Soft roasted-malt bitterness keeps the sweetness in check. An absolute game changer for stout lovers!",5.2,Milk Stout,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels APA,"This delightfully fruity, aromatic beer gets its lead from the abundance of USA hops.  A top fermented ale style, the tropical fruit salad and passion fruit flavours give way to a soft, clean, bitter finish.  A very well-balanced beer.
",5.4,American Pale Ale,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Nectaron® IPA,"The Nectaron® hop from NZ Hops brings intense tropical fruit aromas to the party.  Hopped at multiple stages through its brewing journey, the toastiness of the NZ Ale Malt and Cassels' House Ale Strain then mellows out all the hoppy goodness and the result is one almighty brew.

",6.1,Clear IPA,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Red IPA on Nitro,"Our Red IPA is vibrant and copper-coloured, with a rich, tan head. Prominent pine-needle and citrus hop aromas lead to bold ",6.6,Red IPA,,,,,,,,,,,,,,,,,,,
Cassels Brewing Co.,Cassels Brewing Co.,Cassels Triple Cream on Nitro,"Lusciously creamy on the tongue, this imperial strength Milk Stout is stronger and sweeter than its Milk Stout sibling. You can expect the same full-bodied mouth-feel and bittersweet, mocha aromatics but with a hint of spice from the Moutere and Willamette hops.  We've also gone one better this time round and paired this delicious brew with Nitro!  Nitrogen creates tiny bubbles that delivers an even silkier and creamier mouthfeel if you can believe it. 
",9,Imperial Milk Stout,,,,,,,,,,,,,,,,,,,
Choice Bros.,Choice Bros.,Perfect Day,"Clean, crisp and super refreshing. This lager takes its inspiration from the American Lagers that leave you wanting more. A light whirlpool addition of Mosaic adds a hint of hoppiness to an otherwise traditional drop.",3.9,Lager,,,,,,,,,,,,,,,,,,,
Choice Bros.,Choice Bros.,Reet Petite,"We are bringing back an old Choice Bros classic. This is a Red IPA, packed full of ginger that brings in another element to what is already a punchy style. Piney, citrusy and a strong red malt backbone, this beer does it all",6,Red IPA,,,,,,,,,,,,,,,,,,,
Choice Bros.,Choice Bros.,Dreams,Smoothie Sours have taken over the USA by storm. There is a good reason for that. 40 of this beer is pure fruit puree and you can tell. If big fruity flavours are your thing. This is the beer for you,6.5,"Mango, Strawberry and Cream Smoothie Sour",,,,,,,,,,,,,,,,,,,
