EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Bravo! WCIPA,"In 1969, backing the arts in New Plymouth was enough to get you spat on in the street. Then-president of the Operatic Society, John Murphy, copped some ill-directed spray while fighting to save the Opera House from demolition. Thankfully, it wasn’t curtains after all, with Murphy’s efforts helping ensure the Showplace lived on — and continues to host world-class productions to this day.

This West Coast IPA celebrates 100 years of the New Plymouth Operatic Society with a proper ensemble of old-school and modern hops. Pine, citrus and tropical resin take centre stage atop a lean malt base, creating a brew that hits like a standing ovation on closing night. ",6.7,WCIPA,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Feijoa Sour Ale - Oak Barrel Aged,"This Belgian inspired Sour Beer is a mix of 12 and 24 month old mixed ferment, oak barrel aged ales rested on freshly picked Feijoas from Oakura Farms Orchard on Ahu Ahu Road, and then conditioned in bottle with fresh Brettanomyces Yeast. Store upright in the fridge for at least 24 hours before gently decanting.

Limited to 1200 hand labelled, wax dipped and individually number bottles, plus a limited number of kegs for special events like Beervana 2026.",6.8,Barrel Aged Sour Ale,,,,,,,,,,,,,,,,,,,
Shining Peak Brewing,Shining Peak Brewing,Vintage Stout 2024 - Pōkeno Whisky Barrel Aged,"The 2024 Vintage Stout is the sixth release of our ‘Vintage’ range of yearly Barrel Aged releases.

This Imperial Stout was brewed with a ‘Reiterated’ Double Mashing schedule, in which the second mash is mixed in with high gravity Wort from the first mash. This process allows us to extract a more concentrated sweet Wort, which feeds the yeast to create a higher alcohol brew.

A small addition of dextrose sugar in the fermenter added an extra hit of alcohol which gives this beer a warming balance to the oak tannins. We then decanted the beer into New Zealand Whisky Barrels from Pōkeno Distillery, and left the beer to rest for nine months.

The process of Oak ageing creates a chemical reaction between the wood and the beer, in which flavour compounds such as tannins and vanillins leach into the beer, creating a rounded and complex flavour. By treating the oak barrel as an additional ‘ingredient’ we’ve been able to create this complex and rich brew that is perfect for winter nights, and will also cellar extremely well as it gains complexity with ageing.",11,Barrel Aged Imperial Stout,,,,,,,,,,,,,,,,,,,
Sunshine Brewery,Sunshine Brewery,Gisborne Gold Lager,"A New Zealand legend, easy everyday refreshing lager.",3.8,Lager,,,,,,,,,,,,,,,,,,,
Sunshine Brewery,Sunshine Brewery,Gisborne Black Milk Stout,"A very moreish and drinkable milk stout, with smooth chocolate, rich malt flavours with an underlying milk creaminess. A perfect session worthy stout!",4.5,Milk Stout,,,,,,,,,,,,,,,,,,,
Sunshine Brewery,Sunshine Brewery,Sea Fog Hazy IPA,"This easy-going Hazy Pale Ale is like drinking a bowl of ripe summer fruit. It's packed with soft juicy peach and sweet apricot, rounded out by bright citrus zest. Because it's lighter at 4.9, it feels incredibly approachable and sessionable - perfect for hanging out on the patio. Expect a fluffy, hazy texture and a gentle, fruity sweetness that keeps you coming back for another sip.",4.9,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Sunshine Brewery,Sunshine Brewery,Les Hopserables,"A West Coast IPA with a Broadway-sized cast of classic hops. Chinook, Citra, Centennial and Simcoe take centre stage, delivering bright citrus, pine, and dank resin over a crisp, dry finish. Brewed by Sunshine and Three Sisters for the Malthouse WCIPA Challenge, this is a tale of bold bitterness, big aroma and hop redemption. Sing it loud: do you hear the hops sing?",6.5,West Coast IPA,,,,,,,,,,,,,,,,,,,
Sunshine Brewery,Sunshine Brewery,Imperial Brown Ale,"Aged in ex-port and Pinot Noir barrels for 8 months before blending. Hazelnuts, vanilla, and cocoa nib additions blend together with rich caramel, toffee, and chocolate notes imparted by the malts. This beer has been aging at the brewery for 4 years and now shows great nutty, vinous and vanilla notes.",10,Strong Aged Brown Ale,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Undies Mini IPA,Big on Hops small on Booze. It's a big beer hiding in those undies.,2.5,IPA,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Ride On,"Crisp, clean, and ultra-refreshing lager
",4,Lager,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Te Aro Brewing ,Dubh X Oatmeal Milk Stout  ,"Velvety mouthfeel with chocolate and coffee notes.
",5.3,Oatmeal Stout,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Sin Bin,"Red IPA with a  rich malt character balanced with punchy hop flavour.
",5.5,Red IPA,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Te Aro Brewing,Brewing Spotlight No IV,Festival Release Once off Pale Ale,5.5,Pale Ale,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Base Camp,"Tropical fruits and tangerine with a sweet malty base.
",5.7,APA,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Zipline,Dank and fruity full-bodied IPA.,6,IPA,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Funk Junk,"Fruit-forward and juicy on a light, sweet malt base.",6,Hazy IPA,,,,,,,,,,,,,,,,,,,
Te Aro Brewing,Rocky Knob ,Snapper Head,"Triple Award Winner. Tropical punch with passionfruit tang.
",7.4,IPA,,,,,,,,,,,,,,,,,,,
The Alchemist Mixology,The Alchemist Mixology,Virgin Lady Mocktail,"Rosehip, Raspberry & lime stirred with ginger beer & topped with a meringue",0,Mocktail,,,,,,,,,,,,,,,,,,,
The Alchemist Mixology,The Alchemist Mixology,Raspberry and Chocolate Brownie,"Rich and velvety — tart raspberry blends into Emerson’s Chocolato Otis, a smooth chocolate oatmeal stout with roasted malt, cocoa, and creamy depth. Like dessert in a glass.",5,Stout Cocktail,,,,,,,,,,,,,,,,,,,
The Alchemist Mixology,The Alchemist Mixology,Tropical IPA,Bright and tropical — passionfruit and lime meet Emerson IPA.,5,IPA Tropical Cocktail,,,,,,,,,,,,,,,,,,,
The Alchemist Mixology,The Alchemist Mixology,Dark n Stormy,"Dark Rum, Lime & Brown sugar mixed with ginger beer for a crisp & refreshing cocktail",5,Ginger beer cocktail,,,,,,,,,,,,,,,,,,,
The Alchemist Mixology,The Alchemist Mixology,Flirty Lady,"Gin, Rosehip, Lime & Ginger beer topped with a meringue! ",5,Ginger beer cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Fizz Pop and Hop - NON ALC,,0,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Pacific Dark & Stormy NON ALC,,0,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,"Monkey Colada a.k.a. Ohh, Ahh, Umaga NON ALC",,0,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Roxy Rosebud NON ALC,,0,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Koko (Espresso) Martini NON ALC,,0,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,The Bling Blossom NON ALC,,0,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Fizz Pop and Hop,"Ingredients:
* VAI Vodka
* Lemongrass syrup
* Cranberry juice
* Lemon/Lime Juice
* Mango hop foam
* The most Instagrammable/TikTok-worthy cocktail you will see at Beervana . Flavours that are zingy, hoppy, sweet, and balanced citrusy that it'll make your mind POP . Also available ‘guilt free’ (non-alc) in case you’ve had too many beersie.",3.9,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Pacific Dark & Stormy,"Ingredients:
* Dancing Sands Coconut & Vanilla Rum
* Ginger Hop Soda
* Lemon
* Angostura Bitters
* Ginger and spice and everything nice with a good splash of Dancing Sands Coconut & Vanilla Rum . Having the Pacific Dark & Stormy 'guilt free' (non-alc) is just as delicious .",3.9,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,"Monkey Colada a.k.a. Ohh, Ahh, Umaga","Ingredients:
* Dancing Sands Coconut & Vanilla Rum
* Coconut Water
* Coconut Milk
* Coconut syrup
* Spiced Pineapple and Hop Juice
* If you can't escape to Fiji for a holiday, then we will bring the holiday in Fiji to you, but in your cup . Creamy, smooth, fruity and fresh, just what you need after another heavy hopped IPA . Also available ‘guilt free’ (non-alc) in case you are the responsible adult .",3.9,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Roxy Rosebud ,"Ingredients:
* VAI Vodka
* Cranberry and Pineapple juice
* Passionfruit
* Lemon Juice
* Vanilla Green bullet (hop) syrup
* It's a ROSEBUD made by the #RW team from ROXY and infused with HOPS , literally the most delicious non-beer beverage your palate will enjoy. Only thing that could be better is fried chicken... unless you’re vegetarian . Also available ‘guilt free’ (non-alc) in case your Beervana allowance is running low .",3.9,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,Koko (Espresso) Martini ,"Ingredients:
* VAI Vodka
* Koko Samoa
* Koko Liqueur
* Green bullet (hop) syrup
* Chocolate-drizzled marshmallows (garnish)
* Consider your standard espresso martini officially retired. We brought the real deal straight from Samoa, teaming up authentic Koko Samoa and Koko Liqueur with VAI Vodka . Finished with chocolate-drizzled marshmallows, this is sweet, rich, and straight-up paradise in a glass .",3.9,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
The Roxy,The Roxy,The Bling Blossom,"Ingredients:
* VAI Vodka
* Sparkling Fresh Green Apple hoppy Juice
* Lime
* Triple Berry bubbles
* Bling Bling Coaster
* Get ready to glow! This bad boy mixes VAI vodka with zingy sparkling green apple and a splash of lime . Topped with fluffy, vibrant triple berry bubbles, it's basically a party in a glass . Oh, and did we mention it sits on a Bling Bling Coaster that lights up?! Seriously insta-worthy, super refreshing, and just a whole lotta fun . Wanna keep it chill? Grab the non-alc version!",3.9,Beer inspired Cocktail,,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,Oakura Blonde,"Life should be easy, and so should drinking beer. It doesn’t come much easier than this Blonde Ale. Pilsner and wheat malt base, lightly hopped and American Ale yeast used to keep it clean and fresh. Kick back and enjoy!",4.8,Blonde Ale,,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,Dragon Fruit Smoothie,coming soon...,5.5,Smoothie Sour,,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,Big Pink Energy,Coming soon...,5.5,Watermelon and Passionfruit Ice Cream Smoothie Sour,,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,Papaya Don't Preach,Coming soon...,5.5,"Papaya, Coconut, Mango Ice Cream Smoothie Sour",,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,Fuzzy Panda,"A juicy Hazy Pale Ale with Cryo Mosaic, Citra, and Motueka, double dry hopped, Maris Otter malt base with oats and wheat…things might get fuzzy!",5.8,Hazy Pale Ale,,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,Rain In The Face,"One of the original beers to come out of Three Sisters and the start of the journey. Big in your face American Pale Ale, double dry hopped, Chinook and Simcoe come together on a generous base of Maris Otter malts. ",6.5,American Pale Ale,,,,,,,,,,,,,,,,,,,
Three Sisters Brewery,Three Sisters Brewery,So Much Noise,"A big, bold beer that's citrusy with lime and grapefruit notes.  It's mildly sweet and full-bodied with a juicy, fruity finish.  Strong but surprisingly drinkable for its size.",10.5,Triple Hazy IPA,,,,,,,,,,,,,,,,,,,
Tuatara Brewery,Tuatara Brewery,Regenerate Pilsner,,5,Pilsner,,,,,,,,,,,,,,,,,,,
Tuatara Brewery,Tuatara Brewery,Yuzu Hazy,,5.5,Pale Ale,,,,,,,,,,,,,,,,,,,
Tuatara Brewery,Tuatara Brewery,Hazy IPA,,5.7,Hazy IPA,,,,,,,,,,,,,,,,,,,
Tuatara Brewery,Tuatara Brewery,Interstellar IPA,,6.1,IPA,,,,,,,,,,,,,,,,,,,
Tuatara Brewery,Tuatara Brewery,Plum Baltic Porter,,7.5,Baltic Porter,,,,,,,,,,,,,,,,,,,
Tuatara Brewery,Tuatara Brewery,Nitro Espresso Stoutini,,8.2,,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Little Rock non-alc IPA,,0.5,Non-Alc IPA,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,SLUSHIE Raspberry Sour,,3.8,SLUSHIE,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Kingsland Reaper,,4.5,chilli pilsner,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,SLUSHIE Lemonade & Pickle Sour,,4.5,SLUSHIE,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Yuzu Miami Lager,,5,Yuzu Lager,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Raspberry Wheat Beer,,5.5,Raspberry Wheat Beer,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Calamansi Hazy IPA,,5.7,Hazy IPA,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Karma Cola Sour,official collab ,6,Cola Sour,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Salted Caramel Stout,,6,Salted Caramel Stout,,,,,,,,,,,,,,,,,,,
Urbanaut,Urbanaut,Time Warp WCIPA,,6.3,West Coast IPA,,,,,,,,,,,,,,,,,,,
Yellow Monkey Brewing,Yellow Monkey Brewing,KAIZOKU,"A bold lager that captures the essence of Japanese ""umami"". Inspired by the clarity and refinement of Japanese cuisine, this lager delivers a light, smooth drinking experience with a deep sense of umami.",4.5,Japanese Umami Lager,,,,,,,,,,,,,,,,,,,
Yellow Monkey Brewing,Yellow Monkey Brewing,TORIAEZU,"Featuring the fresh and vibrant aroma of NZ Riwaka hops, the refined character of sake yeast, and the rich umami of traditional Japanese ingredients such as Kombu kelp, Shiitake mushroom, and bonito flakes bring depth and lasting complexity. ",5.5,Sake Yeast IPA,,,,,,,,,,,,,,,,,,,
Yellow Monkey Brewing,Yellow Monkey Brewing,GOHOBI IPA,"Brewed in Japan by Japanese brewer Kengo Saito, who learned his craft here in Wellington, this NZ IPA is a homecoming of sorts.
Bright and citrus-forward, with vibrant aromas of orange and grapefruit layered over the fresh, green character of New Zealand hops. Tropical yeast notes add depth, leading to a flavorful, refreshing IPA with a clean and satisfying finish.
Born from Kengo’s time in Wellington, brewed in Yokohama, and now back in New Zealand.",6,NZ IPA,,,,,,,,,,,,,,,,,,,
Yellow Monkey Brewing,Yellow Monkey Brewing,ChaChaCha,"Captured the delicate ""umami"" of Japanese green tea in a beer. Blending three carefully selected teas and using an optimal cold-steeping method, we bring out deep umami and a lingering finish. Brewed clean and simple, with gentle malt and hops that elevate the elegance of the tea. Japanese green tea takes the spotlight.",6,Japanese Green Tea Beer,,,,,,,,,,,,,,,,,,,
Yellow Monkey Brewing,Yellow Monkey Brewing,UTSUROI,"UTSUROI deliberately brings the ginjo-like aromatics of sake yeast to the forefront. The aroma is reminiscent of Japanese sake, with expressive notes of ripe melon and pear. 
Rice koji, polished rice bran, and wasanbon sugar contribute soft, layered umami, giving the beer a delicate yet complex depth. To further explore umami as a defining element of Japanese food culture, we also used Kombu kelp, bonito flakes, and Shiitake mushrooms.
The result is a clean, refined beer with a quiet, savoury finish that continues to unfold long after each sip.",8,Japanese Style Strong Ale,,,,,,,,,,,,,,,,,,,
Yellow Monkey Brewing,Yellow Monkey Brewing,Barrel Aged Imperial IPA,"An Imperial IPA brewed with generous New Zealand malts, then aged for 18 months in Chardonnay barrels from INVIVO Winery. Elegant barrel aromatics, delicate acidity, and rounded richness come together in layered harmony. ",9.5,Barrel Aged IPA,,,,,,,,,,,,,,,,,,,
